ETC_20150317_000001	Kepa
ETC_20150317_002346	Las raíces modificadas no responden
ETC_20150317_002347	Raíces reactivas intermedias
ETC_20150317_002348	¡El reactivo ha sido bien esparcido! {nl} Ahora las almas que se habían salido están perdidas, ¡por favor espera un momento!
ETC_20150317_002349	No ha tenido ninguna reacción. {nl} Intenta en otros monstruos
ETC_20150317_002350	¡Flores que puedo usar para el alma necesaria!
ETC_20150317_002351	¡Dediqué todas las ofrendas!
ETC_20150317_002352	¡Has hecho una ofrenda!
ETC_20150317_002353	¡Debes atraer y derrotar los monstruos en las cercanías del santuario!
ETC_20150317_002354	Eliminado tras robar la tierra que poseía los círculos de invocación.
ETC_20150317_002355	¡La salud de la Estatua del Diosa ha sido reducida a menos del 60%! {nl} ¡Deshaste de las líanas!
ETC_20150317_002356	¡La salud de la Estatua del Diosa ha sido reducida a menos del 20%! {nl} ¡Deshaste de las líanas!
ETC_20150317_002357	¡La salud de la Estatua del Diosa ha sido reducida a menos del 10%! {nl} ¡Deshaste de las líanas!
ETC_20150317_002358	Las flroes se marchitaron y murieron.
ETC_20150317_002359	Re-obteniendo la foto
ETC_20150317_002360	Has obtenido la foto nuevamente
ETC_20150317_002361	Lanzando la foto
ETC_20150317_002362	las lanzado la foto a la tumba
ETC_20150317_002363	Estoy sacando el mantel nuevamente
ETC_20150317_002364	Sacaste el mantel nuevamente
ETC_20150317_002365	Rodeando el mantel
ETC_20150317_002366	Se puso el mantel en la caja. Podemos repetirlo.
ETC_20150317_002367	No tienes la llave.{nl}Recolecta llaves de los monstruos.
ETC_20150317_002368	Revisa el obelísco operacional con una herramienta mágica secundaria
ETC_20150317_002369	Prueba fallida
ETC_20150317_002370	Has quemado las oraciones del fúneral
ETC_20150317_002371	Quema una oración del {nl}fúneral
ETC_20150317_002372	Reparando Espantapájaros
ETC_20150317_002373	Selecciona dialógo 1
ETC_20150317_002374	Selecciona dialógo 2
ETC_20150317_002375	Dejar el lugar.
ETC_20150317_002376	Primer espacio
ETC_20150317_002377	Segundo espacio
ETC_20150317_002378	Tercer espacio
ETC_20150317_002379	Cuarto espacio
ETC_20150317_002380	Leña
ETC_20150317_002381	Por favor guíanos a la Diosa.
ETC_20150317_002382	Absorbida energía del guardían
ETC_20150317_002383	Moviendose.
ETC_20150317_002384	No moverse.
ETC_20150317_002385	{@st59} Aumenta PM y recuperación de PM {/}
ETC_20150317_002386	{nl} Misión Completada
ETC_20150317_002387	Lo ví. Obviamente no era un Nonato.
ETC_20150317_002388	No es un Nonato.
ETC_20150317_002389	¿Porqué habría de seguirlo si es un Nonato?
ETC_20150317_002390	¿Muertos Vivos en Saltistter? Eso no tiene Sentido.
ETC_20150317_002391	Prerequisito:
ETC_20150317_002392	Nivel o superior
ETC_20150317_002393	Nivel o inferior
ETC_20150317_002394	Ranking
ETC_20150317_002395	Ranking o superior
ETC_20150317_002396	Ranking bajo
ETC_20150317_002397	Sólo personajes masculinos
ETC_20150317_002398	Sólo personajes femeninos
ETC_20150317_002399	Objeto
ETC_20150317_002400	Objeto necesario
ETC_20150317_002401	 requerido
ETC_20150317_002402	Condiciones de misión secundaria{nl}
ETC_20150317_002403	No has cumplido los pre-requisitos de esta misión. No puedes continuar con el grupo.
ETC_20150317_002404	Esta fluyendo energía lóbrega. Corre.
ETC_20150317_002405	Has destruído el invocador de demonios
ETC_20150317_002406	Destruye el purificador de hechizos
ETC_20150317_002407	Panto Loco
ETC_20150317_002408	Has fallado en proteger el altar
ETC_20150317_002409	¡Has derrotado a Gaigalas! {nl} Corta la raíz de Bramble.
ETC_20150317_002410	¡Has derrotado a Molich! {nl} Corta la raíz de Bramble.
ETC_20150317_002411	¡Has derrotado a raíz de Bramble. Derrota a Gaigalas.
ETC_20150317_002412	¡Has derrotado a raíz de Bramble. Derrota a Molich.
ETC_20150317_002413	Has purificado energía lóbrega
ETC_20150317_002414	¡Has fallado en proteger la linterna de la Tumba Real!
ETC_20150317_002415	¡El Vikaras corrupto explotó!
ETC_20150317_002416	El Vikaras corrupto está a punto de explotar
ETC_20150317_002417	¡Has fallado en prevenir la destrucción de la Tumba Real!
ETC_20150317_002418	Acerca de cuando se construyó la catedral
ETC_20150317_002419	Acerca de Naktis
ETC_20150317_002420	¡Obtuviste alma íntegra!
ETC_20150317_002421	Son almas trasformadas.
ETC_20150317_002422	La Esencia de las almas está esparcida en el aire cómo polvo.
ETC_20150317_002423	Encender 1
ETC_20150317_002424	Encender 2
ETC_20150317_002425	Encender 3
ETC_20150317_002426	Encender 4
ETC_20150317_002427	Encender 5
ETC_20150317_002428	Encender 6
ETC_20150317_002429	Revisando la Esencia
ETC_20150317_002430	Revisando la Escritura
ETC_20150317_002431	¡Has obtenido Escritua
ETC_20150317_002432	Es una Biblia muy vieja y sucia.
ETC_20150317_002433	Es muy útil aunque sea vieja
ETC_20150317_002434	Preguntar por la ubicación del dispositivo
ETC_20150317_002435	¡La reliquía concuerda con el altar!
ETC_20150317_002436	No serás capaz de montar las reliquias en casa.
ETC_20150317_002437	Inserta la Santa Reliquía de la Píedad
ETC_20150317_002438	Inserta la Santa Reliquía de la Salvación
ETC_20150317_002439	Esperando el alma del sacerdote Aurelius.
ETC_20150317_002440	Examinando
ETC_20150317_002441	Encontraste el objeto bajo tierra
ETC_20150317_002442	No encontraste nada
ETC_20150317_002443	Tipo
ETC_20150317_002444	Atributo
ETC_20150317_002445	Has obtenido x{Count}
ETC_20150317_002446	Has encontrado la referencia relacionado con Naktis
ETC_20150317_002447	Has fallado en encontrar la referencia relacionado con Naktis
ETC_20150317_002448	¡Has obtenido la Hierba!
ETC_20150317_002449	El dispositivo parece estar abierto
ETC_20150317_002450	Usar una llave.
ETC_20150317_002451	Dejarlo cómo esta
ETC_20150317_002452	Abrir el dispositivo para usar la llave.
ETC_20150317_002453	Conozco el lugar que quieres encontrar.
ETC_20150317_002454	Conozco el lugar donde los humanos lo ocultaron.
ETC_20150317_002455	Tienes una oportunidad para impresionar a Naktis
ETC_20150317_002456	Necesitamos apresurarnos para encontrarlo.
ETC_20150317_002457	Ahora es cuando.
ETC_20150317_002458	Persuadido con éxito.
ETC_20150317_002459	¡Estaré allí primero!
ETC_20150317_002460	¡La transformación ha funcionado!{nl}Revela la información a los sirvientes de Naktis.
ETC_20150317_002461	Bebiendo la poción de transformación
ETC_20150317_002462	Okay...
ETC_20150317_002463	Liberar dispositivo
ETC_20150317_002464	Dispositivo Liberado
ETC_20150317_002465	Usa la llave roja
ETC_20150317_002466	Usa la llave azul
ETC_20150317_002467	Usa la llave morada
ETC_20150317_002468	Usa la llave verde
ETC_20150317_002469	Usa la llave amarilla
ETC_20150317_002470	Las cuentas han comenzado a brillar
ETC_20150317_002471	No hay llaves.
ETC_20150317_002472	Consejos para resolver el secreto
ETC_20150317_002473	Método para obtener la Reliquía Sagrada
ETC_20150317_002474	Acerca de las Reliquías
ETC_20150317_002475	Preguntar sobre el segundo dispositivo
ETC_20150317_002476	Navegación del siguiente dispositivo
ETC_20150317_002477	La hierba esta podrida.
ETC_20150317_002478	Examinando los contenidos...
ETC_20150317_002479	Examinando contenidos relacionados a la hierba
ETC_20150317_002480	No guarda relación con la hierba.
ETC_20150317_002481	Los sirvientes de Naktis han destruído la olla.
ETC_20150317_002482	Duda acerca de la durabilidad del dispositivo de Maven
ETC_20150317_002483	Sirvientes de Naktis
ETC_20150317_002484	Paradero de la última llave
ETC_20150317_002485	Paradero de Naktis
ETC_20150317_002486	El orbe y las llaves
ETC_20150317_002487	Has absorbido el Frío Petrificante débil.
ETC_20150317_002488	Recolectando
ETC_20150317_002489	¡Has recolectado flor petrificada!
ETC_20150317_002490	Cubriendo
ETC_20150317_002491	¡Cubierto con fragante polvo de roca!
ETC_20150317_002492	El monstruo ya se encuentra cubierto con fragante polvo de roca.
ETC_20150317_002493	Muralla de Hielo de Bajo Nivel
ETC_20150317_002494	Has usado pergamino de Muralla de Hielo de Bajo Nivel. {nl} ¡Daña a los mosntruos tanto cómo puedas!
ETC_20150317_002495	Usando Pergamino
ETC_20150317_002496	¡Has recuperado los materiales robados!
ETC_20150317_002497	Revisando Portal
ETC_20150317_002498	¡Al parecer funciona!
ETC_20150317_002499	No parece que funcione.
ETC_20150317_002500	Pegando propaganda
ETC_20150317_002501	¡Has pegado propaganda de la Armada Real!
ETC_20150317_002502	Información acerca del reclutamiento de la Armada Real ha sido pegada. {nl} Esta colgando en lo alto de la pared.
ETC_20150317_002503	¡Has destruído el registro de insurgente!
ETC_20150317_002504	Has obtenido propaganda dañada.
ETC_20150317_002505	Cubriendo con hedor
ETC_20150317_002506	Has cubierto los sumistros con hedor de monstruo.
ETC_20150317_002507	Ya has cubierto los sumistros con el hedor de este monstruo.
ETC_20150317_002508	¡Has usado la bomba!
ETC_20150317_002509	Has recuperado los registros.
ETC_20150317_002510	Teletransportar
ETC_20150317_002511	Tú... ¡Todos deben morir!
ETC_20150317_002512	¡No quiero terminar así!
ETC_20150317_002513	Ver Colección
ETC_20150317_002514	Ver Diario de Aventuras
ETC_20150317_002515	haré una donación
ETC_20150317_002516	Ví el pedido
ETC_20150317_002517	Otro jugador se encuentra cosechando.
ETC_20150317_002518	Usando Pergamino..
ETC_20150317_002519	Preparando Vasija de Fuego...
ETC_20150317_002520	Abriendo Caja...
ETC_20150317_002521	Ya encontraste la Joya de Prominencia
ETC_20150317_002522	Has encontrado la Joya de Prominencia
ETC_20150317_002523	Información del Purificador Central en el 1er piso
ETC_20150317_002524	Información del Purificador de Pasillo en el 1er Piso
ETC_20150317_002525	Información del Purificador Auxiliar en el 2do Piso
ETC_20150317_002526	Has derrotado a Bearkaras. {nl} Encontraste partes útiles en el purificador de repuesto.
ETC_20150317_002527	Información del Purificador Principal en el 2do Piso
ETC_20150317_002528	La Brújula no responde
ETC_20150317_002529	Este purifcador funciona bien.
ETC_20150317_002530	Puedes escuchar el sonido de maquinas a traves. {nl}Pueden haber lubricantes en el Distrito 5.
ETC_20150317_002531	El sonido de la maquinaria se vuelve más claro. {nl} Pueden haber lubricantes en el Distrito 5.
ETC_20150317_002532	Revisando Brújula
ETC_20150317_002533	Has encontrado Lubricante. {nl} Regresa y repara el Dispositivo Suplidor de Magia.
ETC_20150317_002534	Todos los purificadores se encuentran funcionando. {nl} Reactiva la circulación de purificadores.
ETC_20150317_002535	Has encontrado todas las partes necesarias para las reparaciones. {nl} Regresa al purificador principal y arreglalo.
ETC_20150317_002536	La magia se escapa lentamente de la Joya de Prominencia. {nl} Mejor encontrar rápidamente la causa y eliminarla.
ETC_20150317_002537	Úbicate frente a la válvula para revisarla.
ETC_20150317_002538	Por favor procede luego de haber derrotado al Bearkaras.
ETC_20150317_002539	¡Partes encontradas! {nl} Regresa al purificador de la entrada y arreglalo.
ETC_20150317_002540	¡Partes encontradas! {nl} Regresa al purificador central y arreglalo.
ETC_20150317_002541	has derrotado a la Ballena de Piedras que impedía tu búsqueda. {nl} Encuentra las partes faltantes del purificador central.
ETC_20150317_002542	Operando la Piedra Guardiana
ETC_20150317_002543	¡La energía de la Piedra Guardiana ha sido liberada!
ETC_20150317_002544	La Piedra Guardiana no se ha cargado aún
ETC_20150317_002545	La energía de la Piedra Guardiana ha sido cargada
ETC_20150317_002546	Sacando Aceite
ETC_20150317_002547	No hay más referencias relacionadas a Naktis.
ETC_20150317_002548	Recogiendo el libro del Sacerdote...
ETC_20150317_002549	Recogiendo la llave de Maven...
ETC_20150317_002550	¡Has obtenido la llave de Maven!
ETC_20150317_002551	¡Los sirvientes de Naktis están siendo muy molestos!
ETC_20150317_002552	Usando llave de Maven...
ETC_20150317_002553	Matsum Experimental
ETC_20150317_002554	Vertiendo Solución Ácida
ETC_20150317_002555	Usando Cristal Mágico
ETC_20150317_002556	Recuperando la Reliquía Sagrada
ETC_20150317_002557	No se ha detectado la Reliquía
ETC_20150317_002558	Detectando Reliquía
ETC_20150317_002559	Usar Pergamino de Encantamiento
ETC_20150317_002560	No hubo reacción
ETC_20150317_002561	El monstruo se desmayó
ETC_20150317_002562	El monstruo explotó
ETC_20150317_002563	Demuestra claramente quien eres
ETC_20150317_002564	Puerta abierta. Obten la Revelación
ETC_20150317_002565	Acerca de la pintura en la carne
ETC_20150317_002566	Necesito más carne
ETC_20150317_002567	Siento hambre y dolor de cabeza
ETC_20150317_002568	Estoy lleno
ETC_20150317_002569	Darle carne al Peregrino
ETC_20150317_002570	Haciendo funcionar el dispositivo
ETC_20150317_002571	Daño adicional {Auto_1}!
ETC_20150317_002572	Absorción Física {Auto_1}!
ETC_20150317_002573	Absorción de PM {Auto_1}!
ETC_20150317_002574	Enfriando reducido en {Auto_1} segundos
ETC_20150317_002575	¡Golpeador de Escudo {Auto_1}!
ETC_20150317_002576	¡Crítico!
ETC_20150317_002577	¡Inmune!
ETC_20150317_002578	¡Provocado!
ETC_20150317_002579	¡Reflejar Daño!
ETC_20150317_002580	¡Aumenta daño en {Auto_1} %%!
ETC_20150317_002581	¡Reduce daño en {Auto_1} %%!
ETC_20150317_002582	¡Desequipar Escudo!
ETC_20150317_002583	¡¡Contra-ataque!!
ETC_20150317_002584	Daño de arma por atributo + {Auto_1}%
ETC_20150317_002585	Golpe de Canto Rompe-hielo
ETC_20150317_002586	Golpe de Canto Rompedor
ETC_20150317_002587	Ajustar Golpe de Canto
ETC_20150317_002588	Penalización por disparo a quemaropa
ETC_20150317_002589	Esculpir
ETC_20150317_002590	Abandonar Clan
ETC_20150317_002591	Solicitud de Grupo
ETC_20150317_002592	Has fallado en Crear un Grupo
ETC_20150317_002593	El nombre del Grupo ya existe
ETC_20150317_002594	Abandonar el Grupo
ETC_20150317_002595	El titulo del cuestionario es muy largo
ETC_20150317_002596	Pregunta
ETC_20150317_002597	Voto
ETC_20150317_002598	Grupo de privilegios de acceso
ETC_20150317_002599	Ya no puedes unirte
ETC_20150317_002600	El grupo ha adquirido {Auto_1} EXP
ETC_20150317_002601	El nivel del grupo ha aumentado a {Auto_1}
ETC_20150317_002602	{Auto_1} Asalto Grupal ha comenzado {nl} Presiona el botón para unirte
ETC_20150317_002603	Te has unido al grupo de {Auto_1}
ETC_20150317_002604	Has creado el Grupo {Auto_1}.
ETC_20150317_002605	{Inviter} te ha invitado a su grupo.{nl}¿Deseas unirte?
ETC_20150317_002606	{PC} ya es miembro de un grupo
ETC_20150317_002607	No eres miembro de un grupo
ETC_20150317_002608	¿Quieres abandonar este grupo?
ETC_20150317_002609	Tu líder de grupo quiere desarmar el grupo {nl} ¿Seguro de desarmar el grupo?
ETC_20150317_002610	El grupo ha sido desarmado
ETC_20150317_002611	{@st41b} Si no eres miembro de un grupo, revisa la información de abajo para crear uno {/}
ETC_20150317_002612	{@st41} Palabras de Agradecimiento {/}
ETC_20150317_002613	{@st41} Nombre {/}
ETC_20150317_002614	{@st43} Ajustes de Grupo {/}
ETC_20150317_002615	{@st41} Límite de Miembros {/}
ETC_20150317_002616	{@st41b} Máx {/}
ETC_20150317_002617	{@st41} Límite de ingresos{/}
ETC_20150317_002618	{@st41} Contraseña {/}
ETC_20150317_002619	{@st41} Clase Preferida {/}
ETC_20150317_002620	{@st41b} Aleatorio {/}
ETC_20150317_002621	{@st41b} Sólo Espadachín {/}
ETC_20150317_002622	{@st41b} Sólo Mago {/}
ETC_20150317_002623	{@st41b} Sólo Arquero {/}
ETC_20150317_002624	{@st41b} Sólo Clérigo {/}
ETC_20150317_002625	{@st41b} Sólo Hechicero {/}
ETC_20150317_002626	{@st41b} Público {/}
ETC_20150317_002627	{@st41b} Privado {/}
ETC_20150317_002628	Mi Página
ETC_20150317_002629	Última Visita
ETC_20150317_002630	Abrir tablero
ETC_20150317_002631	Ciclo de TP
ETC_20150317_002632	No tienes TP para regalar.
ETC_20150317_002633	Ingresa el número de TP que quieres regalar.
ETC_20150317_002634	{Auto_2} ~ {Auto_1} u
ETC_20150317_002635	Has recibido {Count} TP como un regalo de {Giver}.
ETC_20150317_002636	Regalé {Count} TP a {Receiver}.
ETC_20150317_002637	{Giver} no tiene suficientes TP para regalar.
ETC_20150317_002638	{Receiver} no puede recibir más TP hoy.
ETC_20150317_002639	Cuerpo Astral de {Auto_1}
ETC_20150317_002640	Insusficientes TP.
ETC_20150317_002641	Tu Grito no puede exceder los {MaxByte} bytes.
ETC_20150317_002642	Ese grupo no existe.
ETC_20150317_002643	Expulsar
ETC_20150317_002644	Irse
ETC_20150317_002645	Info del Grupo
ETC_20150317_002646	Hacer lider de Grupo
ETC_20150317_002647	Has rechazado la invitación a Grupo.
ETC_20150317_002648	¿Quieres unirte a este Grupo?
ETC_20150317_002649	Tu Grito no puede exceder los {MaxLen} carácteres.
ETC_20150317_002650	Ya te encuentras en un grupo
ETC_20150317_002651	No te encuentras en un grupo.
ETC_20150317_002652	Todos
ETC_20150317_002653	No hay suficientes miembros en el grupo.
ETC_20150317_002654	Tiempo disponible para la siguiente misión
ETC_20150317_002655	Esta misión puede ser progresada.
ETC_20150317_002656	Tiempo de espera para reconexión
ETC_20150317_002657	Es posible hacer misión grupal.
ETC_20150317_002658	Sólo el líder del grupo puede hacer esto.
ETC_20150317_002659	Todos los miembros deben ir a {MapName} para comenzar la misión.
ETC_20150317_002660	No todos los miembros están juntos.
ETC_20150317_002661	Todos los miembros del grupo se han encontrado. La misión estará disponible en poco tiempo.
ETC_20150317_002662	se ha retirado.
ETC_20150317_002663	Normal
ETC_20150317_002664	Grito
ETC_20150317_002665	Grupo
ETC_20150317_002666	De {Who} y {Count} otros
ETC_20150317_002667	Lista de salas de Chat
ETC_20150317_002668	Ese usuario no existe.
ETC_20150317_002669	Área de Misión Grupal
ETC_20150317_002670	El usuario no existe o no se encuentra en linea.
ETC_20150317_002671	Ingresa el nombre del Equipo del jugador para invitarle.
ETC_20150317_002672	{TargetName} y {Count} otros
ETC_20150317_002673	Comenzar Subasta
ETC_20150317_002674	Has fallado en iniciar la Subasta
ETC_20150317_002675	Otra subasta se encuentra en progreso
ETC_20150317_002676	No hay postor
ETC_20150317_002677	La subasta ha sido cancelada
ETC_20150317_002678	{Auto_2} ganó la púja por {Auto_1} plata
ETC_20150317_002679	La subasta ha finalizado
ETC_20150317_002680	Has obtenido {Auto_1} plata por la subasta
ETC_20150317_002681	Ya eres el mejor postor
ETC_20150317_002682	Puja Completa
ETC_20150317_002683	¿Quieres pujar?
ETC_20150317_002684	Has recibido el objeto de la subasta.
ETC_20150317_002685	Tu objeto de la subasta ha sido vendido.
ETC_20150317_002686	Dinero recibido de la subasta expirada
ETC_20150317_002687	La subasta ha finalizado.
ETC_20150317_002688	¡Has puesto un objeto en la subasta!
ETC_20150317_002689	{Bidder} es el mejor postor para {ItemName}.{/}
ETC_20150317_002690	Eres el mejor postor para {Auto_1}.{/}
ETC_20150317_002691	{ItemName} está siendo subastado en {MapName}.
ETC_20150317_002692	{PC} ha ganado {ItemName} de la subasta.
ETC_20150317_002693	No puedes pujar más que el precio de venta fijado.
ETC_20150317_002694	¿Confirmar compra?
ETC_20150317_002695	¿Quienes adoptar este Compañero?
ETC_20150317_002696	Mercader
ETC_20150317_002697	Cantidad
ETC_20150317_002698	Precio unitario
ETC_20150317_002699	Precio total
ETC_20150317_002700	Cantidad
ETC_20150317_002701	Tu precio de venta debe ser mayor a 0 plata.
ETC_20150317_002702	La cantidad a vender debe ser mayor a 0.
ETC_20150317_002703	Tu objeto se ha añadido con éxito al emrcado.
ETC_20150317_002704	Has comprado un objeto éxitosamente del mercado.{nl}Por favor revisa que hayas recibido el objeto.
ETC_20150317_002705	Muchos resultados de busqueda. Detalla más tu búsqueda para reducir el número de resultado.
ETC_20150317_002706	¿Estas seguro de querer cancelar el registro de este objeto?
ETC_20150317_002707	Tu objeto ha sido cancelado del mercado con éxito.{nl}Por favor revisa si recibiste el objeto.
ETC_20150317_002708	Un objeto equipado no puede ser añadido.
ETC_20150317_002709	Privado
ETC_20150317_002710	Confirmar
ETC_20150317_002711	Precio: Menor a Mayor
ETC_20150317_002712	Precio: Mayor a Menor
ETC_20150317_002713	Recientemente Listado
ETC_20150317_002714	El precio ingresado debe ser al menos 1.
ETC_20150317_002715	Sólo se puede con habilidades que consumen objetos.
ETC_20150317_002716	¡Alejate! Las piedras deben ser entregadas lo antes posible.
ETC_20150317_002717	Bleeding Arrow
ETC_20150317_002718	Penetrating Arrow
ETC_20150317_002719	Explosive Arrow
ETC_20150317_002720	[Creable]
ETC_20150317_002721	Resistencia
ETC_20150317_002722	Ataque
ETC_20150317_002723	Velocidad de Ataque
ETC_20150317_002724	Tasa Crítico
ETC_20150317_002725	Durabilidad
ETC_20150317_002726	Splash
ETC_20150317_002727	Precisión
ETC_20150317_002728	Resistencia a Críticos
ETC_20150317_002729	Splash Defense
ETC_20150317_002730	INT
ETC_20150317_002731	SPR
ETC_20150317_002732	Ataque de Habilidad
ETC_20150317_002733	Resistencia Mágica
ETC_20150317_002734	Dugout Attack
ETC_20150317_002735	Ataque de Canto
ETC_20150317_002736	Ataque Mágico
ETC_20150317_002737	Defensa Mágica
ETC_20150317_002738	Creates an additional slot when equipped
ETC_20150317_002739	Genéro
ETC_20150317_002740	Maximum Socket(s)
ETC_20150317_002741	Vender a tienda
ETC_20150317_002742	Intercambiar con Jugador
ETC_20150317_002743	Mejorar Potencial
ETC_20150317_002744	Precio de venta a tienda
ETC_20150317_002745	Nivel requerido
ETC_20150317_002746	Clase requerida
ETC_20150317_002747	Penetrante
ETC_20150317_002748	Cortante
ETC_20150317_002749	Golpeante
ETC_20150317_002750	Aumenta rango
ETC_20150317_002751	Aumenta rango de Corte
ETC_20150317_002752	Rango de Ataque
ETC_20150317_002753	Ataque Ángular
ETC_20150317_002754	Tasa de Bloqueo
ETC_20150317_002755	Multi-golpe
ETC_20150317_002756	Rango de Ataque Posterior
ETC_20150317_002757	Usar Habilidad Específica
ETC_20150317_002758	Posible
ETC_20150317_002759	No disponible
ETC_20150317_002760	Ataque Crítico
ETC_20150317_002761	Defensa Crítica
ETC_20150317_002762	Comerciable
ETC_20150317_002763	No Comerciable
ETC_20150317_002764	Tasa de recuperación por Pociones
ETC_20150317_002765	Recuperación de PM
ETC_20150317_002766	Imposible de vender
ETC_20150317_002767	Ataque de Elemento Fuego
ETC_20150317_002768	Ataque de Elemento Hielo
ETC_20150317_002769	Ataque de Elemento Veneno
ETC_20150317_002770	Ataque de Elemento Sagrado
ETC_20150317_002771	Ataque de Elemento Oscuridad
ETC_20150317_002772	Velocidad de Movimiento
ETC_20150317_002773	Recuperación de PS
ETC_20150317_002774	Ataque contra blancos tipo Planta
ETC_20150317_002775	Ataque contra blancos tipo Bestia
ETC_20150317_002776	Ataque contra blancos tipo Demonio
ETC_20150317_002777	Ataque contra blancos tipo Mutante
ETC_20150317_002778	Ataque de Elemento Viento
ETC_20150317_002779	Resistencia a Elemento Fuego
ETC_20150317_002780	Resistencia a Elemento Hielo
ETC_20150317_002781	Resistencia a Elemento Veneno
ETC_20150317_002782	Resistencia a Elemento Eléctrico
ETC_20150317_002783	Resistencia a Elemento Sagrado
ETC_20150317_002784	Resistencia a Elemento Oscuridad
ETC_20150317_002785	Amplitud de Área
ETC_20150317_002786	Defensa contra Ataques de Área
ETC_20150317_002787	2% probabilidad de obtener +300 de daño adicional al atacar
ETC_20150317_002788	3% probabilidad de recibir 20% de daño continuo igual al 20% PS cuando golpeas
ETC_20150317_002789	4% probabilidad de obtener +100 de resistencia a todo cuando eres golpeado con magia
ETC_20150317_002790	Ataque de Elemento Eléctrico
ETC_20150317_002791	Poder de Empuje
ETC_20150317_002792	Ataque contra blancos de tipo Pequeño
ETC_20150317_002793	Ataque contra blancos de tipo Mediano
ETC_20150317_002794	Ataque contra blancos de tipo Grande
ETC_20150317_002795	Bloqueo
ETC_20150317_002796	Penetración de bloqueo
ETC_20150317_002797	Ataque contra blancos con Armadura de Tela
ETC_20150317_002798	Ataque contra blancos con Armadura de Cuero
ETC_20150317_002799	Ataque contra blancos con Armadura de Placas
ETC_20150317_002800	Ataque contra blancos con Armadura Espectral
ETC_20150317_002801	Penetración Mágica
ETC_20150317_002802	Objeto de EXP
ETC_20150317_002803	Distancia de Disparo
ETC_20150317_002804	Velocidad
ETC_20150317_002805	Ataque contra blancos de tipo Insecto
ETC_20150317_002806	Ataque de Elemento Tierra
ETC_20150317_002807	Resistencia a Elemento Tierra
ETC_20150317_002808	Daño Físico al montar
ETC_20150317_002809	Daño Mágico al montar
ETC_20150317_002810	Defensa a Penetración
ETC_20150317_002811	Defensa a Cortes
ETC_20150317_002812	Defensa a Golpes
ETC_20150317_002813	Máximo Peso de Carga
ETC_20150317_002814	Muy Fácil
ETC_20150317_002815	Fácil
ETC_20150317_002816	Normal
ETC_20150317_002817	Díficil
ETC_20150317_002818	Muy Díficil
ETC_20150317_002819	{S22}{ol}Siguiente Nivel de Misión: {Auto_1}
ETC_20150317_002820	Zona:
ETC_20150317_002821	{@st45w3}{s18}x{Auto_2} {Auto_1} {/}
ETC_20150317_002822	{@st41}Recompensa Recibida:
ETC_20150317_002823	{@st64} Acercate al PNJ y presiona
ETC_20150317_002824	Barra espaciadora
ETC_20150317_002825	 para iniciar una conversación
ETC_20150317_002826	Abandonar la misión
ETC_20150317_002827	Abandonar
ETC_20150317_002828	{s14}Teletransportarse a
ETC_20150317_002829	Objetivo:
ETC_20150317_002830	Tipo Luchador
ETC_20150317_002831	Tipo Mago
ETC_20150317_002832	Tipo Arquero
ETC_20150317_002833	Tipo Clérigo
ETC_20150317_002834	Tipo Hechicero
ETC_20150317_002835	Tipo Humanoide
ETC_20150317_002836	Tipo Demonio
ETC_20150317_002837	Tipo Planta
ETC_20150317_002838	Tipo Bestia
ETC_20150317_002839	Tipo Mutante
ETC_20150317_002840	Objeto
ETC_20150317_002841	Tipo Insecto
ETC_20150317_002842	Tela
ETC_20150317_002843	Cuero
ETC_20150317_002844	Metal
ETC_20150317_002845	Cadenas
ETC_20150317_002846	Espectral
ETC_20150317_002847	Este mercenario ya le pertene a alguien.
ETC_20150317_002848	El nivel del mercenario es superior al nivel del PJ.
ETC_20150317_002849	El mercenario ha sido contratado.
ETC_20150317_002850	Has dejado ir al mercenario.
ETC_20150317_002851	Este mercenario se encuentra contratado.
ETC_20150317_002852	La tématica de tu Guarida ha sido cambiada.
ETC_20150317_002853	Has cambiado con éxito{nl}el nombre de tu equipo.
ETC_20150317_002854	Has fallado en cambiar{nl}el nombre de tu equipo.
ETC_20150317_002855	Ingresa un nombre de equipo. Este nombre será visto por otros jugadores.
ETC_20150317_002856	Este nombre de equipo ya existe.
ETC_20150317_002857	Efecto de Colección
ETC_20150317_002858	Lista de adquiridos
ETC_20150317_002859	Lista Completa
ETC_20150317_002860	Ya tienes esta colección.
ETC_20150317_002861	Colección
ETC_20150317_002862	Una colección ha sido añadida.
ETC_20150317_002863	Sólo puede registrarse a través de PNJ.
ETC_20150317_002864	Obtenidos {Auto_2} de {Auto_1}
ETC_20150317_002865	Total Explorado
ETC_20150317_002866	explorado
ETC_20150317_002867	{Auto_1} misión(es) completadas
ETC_20150317_002868	{Auto_1} PNJs encontrados
ETC_20150317_002869	Puntuación {Category}
ETC_20150317_002870	Ranking
ETC_20150317_002871	Aventura
ETC_20150317_002872	Exploración
ETC_20150317_002873	{Auto_1} colección(es) adquiridas
ETC_20150317_002874	{Auto_1} Logro(s) obtenidos
ETC_20150317_002875	{Auto_1} misión(es) completados
ETC_20150317_002876	Ranking de Aventuras
ETC_20150317_002877	{Auto_1} colección(es) completadas
ETC_20150317_002878	Contenidos
ETC_20150317_002879	Fijar Objetos
ETC_20150317_002880	Porcentaje Completo:
ETC_20150317_002881	Puntuación:
ETC_20150317_002882	Jefe
ETC_20150317_002883	Fecha
ETC_20150317_002884	Click para ir a la página del objeto.
